"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","N (# obs)"
"Alachua","25 May 2000","80.80","73.09","91.63","73","0.00","0.00","238.33","96"
"Alachua","26 May 2000","81.37","72.46","91.27","70","0.00","0.00","218.70","96"
"Alachua","27 May 2000","80.50","67.68","93.52","66","0.00","0.00","276.47","96"
"Alachua","28 May 2000","81.27","70.95","92.37","69","0.00","0.00","278.98","96"
"Alachua","29 May 2000","82.65","76.23","92.17","57","0.00","0.00","315.94","96"
"Alachua","30 May 2000","75.26","64.18","83.12","61","0.00","0.00","268.93","96"
"Alachua","31 May 2000","71.27","57.00","81.75","71","0.00","0.00","220.22","96"
"Alachua","1 Jun 2000","75.67","57.18","91.53","68","0.00","0.00","302.90","96"
"Alachua","2 Jun 2000","80.40","65.10","93.18","61","0.00","0.00","289.41","96"
"Alachua","3 Jun 2000","81.27","69.71","98.24","62","1.15","0.23","273.54","96"
"Alachua","4 Jun 2000","81.09","69.46","93.76","69","0.00","0.00","264.47","96"
"Alachua","5 Jun 2000","79.41","67.87","90.21","70","0.00","0.00","288.69","96"
"Alachua","6 Jun 2000","79.25","72.19","86.47","71","0.00","0.00","209.44","96"
"Alachua","7 Jun 2000","75.49","65.57","85.80","64","0.00","0.00","299.19","96"
"Alachua","8 Jun 2000","75.32","61.88","87.12","65","0.00","0.00","287.66","96"
"Alachua","9 Jun 2000","74.99","60.84","86.32","62","0.00","0.00","320.75","96"
"Alachua","10 Jun 2000","74.08","58.57","85.30","65","0.00","0.00","269.65","96"
"Alachua","11 Jun 2000","73.18","60.93","85.87","82","0.06","0.02","151.67","96"
